Superfamily	Family	est_sp_JH	est_sp_JFT	est_sp_UCD	est_sp_HW	est_sp_Wikipedia	est_sp_Jones_2009	est_sp_JH_2002	descr_genera_HW	desc_species_HW	desc_genera_Wikipedia	desc_species_Wikipedia	desc_genera_AG	desc_species_AG	desc_genera_other	desc_species_other	other_reference	comment		
Xyeloidea	Xyelidae	100							0	46	5	50	5	63	5	81	ECatSym database, fossils excluded (outdated version from 2011 online: https://sdei.de/ecatsym/)			
Tenthredinoidea	Argidae	1500								800	53	800	58	897	55	950	ECatSym database, fossils excluded (outdated version from 2011 online: https://sdei.de/ecatsym/)			
Tenthredinoidea	Blasticotomidae	20							3	9	3	9	2	12	2	12	ECatSym database, fossils excluded (outdated version from 2011 online: https://sdei.de/ecatsym/)			
Tenthredinoidea	Cimbicidae	200								130	6	130	16	182	15	190	ECatSym database, fossils excluded (outdated version from 2011 online: https://sdei.de/ecatsym/)			
Tenthredinoidea	Diprionidae	200								90	11	90	11	136	11	149	ECatSym database, fossils excluded (outdated version from 2011 online: https://sdei.de/ecatsym/)			
Tenthredinoidea	Pergidae	500								400	59	450	60	442	59	431	Schmidt Smith 2006	60 genera and 452 species according to ECatSym database		
Tenthredinoidea	Tenthredinidae	7000								6000	430	7500	400	5500	382	5963	ECatSym database, fossils excluded (outdated version from 2011 online: https://sdei.de/ecatsym/)			
Pamphilioidea	Megalodontesidae	50								40	10	40	1	42	1	42	ECatSym database, fossils excluded (outdated version from 2011 online: https://sdei.de/ecatsym/)			
Pamphilioidea	Pamphiliidae	400								200	8	200	10	291	10	312	ECatSym database, fossils excluded (outdated version from 2011 online: https://sdei.de/ecatsym/)			
Cephoidea	Cephidae	200								100	16	70	21	160	22	169	ECatSym database, fossils excluded (outdated version from 2011 online: https://sdei.de/ecatsym/)			
Anaxeloidea	Anaxyelidae	1							1	1	1	1	1	1	1	1	ECatSym database, fossils excluded (outdated version from 2011 online: https://sdei.de/ecatsym/)			
Xiphidrioidea	Xiphidriidae	200								80	3	120	28	146	28	152	ECatSym database, fossils excluded (outdated version from 2011 online: https://sdei.de/ecatsym/)			
Siricoidea	Siricidae	150								93	10	150	11	111	10	133	ECatSym database, fossils excluded (outdated version from 2011 online: https://sdei.de/ecatsym/)			
Orussoidea	Orussidae	100								70	14	89	16	82	15	90	ECatSym database, fossils excluded (outdated version from 2011 online: https://sdei.de/ecatsym/)			
Evanioidea	Aulacidae	300							13	150	2	200	2	185						
Evanioidea	Evaniidae	500							14	400	20	400	21	449						
Evanioidea	Gasteruptiidae	700							9	500	9	500	6	496						
Ceraphronoidea	Ceraphronidae				1000					360	14	360	15	304						
Ceraphronoidea	Megaspilidae				1000				12	500	13	450	12	299						
Stephanoidea	Stephanidae	400								100	11	345	11	342						
Trigonaloidea	Trigonalidae	100								75	15	90	16	92						
Megalyroidea	Megalyridae	50							10	45	8	49	8	43						
Chrysidoidea	Bethylidae	3000								2200	80	2200	84	2340						
Chrysidoidea	Chrysididae	4000								3000	93	3000	81	2500						
Chrysidoidea	Dryinidae	3000							58	1100	50	1800	41	1605						
Chrysidoidea	Embolemidae	50							2	10	2	20	2	39						
Chrysidoidea	Plumariidae	30							4	20	7	20	7	22	5	20	Waspweb (van Noort)			
Chrysidoidea	Sclerogibbidae	30							7	10	7	10	3	20						
Chrysidoidea	Scolebythidae	10							3	3	4	4	4	6						
Vespoidea	Bradynobaenidae	200								155	3	155	10	188						
Vespoidea	Chyphotidae	200									2									
Vespoidea	Formicidae				25,000					8800	288	12,000	299	12199	334	13424	http://antcat.org/			
Vespoidea	Mutillidae	5000								5000	118	3000	210	4302						
Vespoidea	Myrmosidae	20									10									
Vespoidea	Pompilidae	10000								4200	200	5000	125	4855						
Vespoidea	Rhopalosomatidae	100							4	34	4	68	4	72						
Vespoidea	Sapygidae	100							3	17	12	80	12	66						
Vespoidea	Scoliidae	1000								300	34	560	143	560						
Vespoidea	Sierolomorphidae	25							1	10	1	10	2	11						
Vespoidea	Thynnidae	100									34									
Vespoidea	Tiphiidae	4000								1500	23	1500	120	2000						
Vespoidea	Vespidae	8000								315	255	4673	268	4932	262	5018	Pickett & Carpenter 2010 (It has changed since)			
